"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
"148",-0.179176,-1.495352,-0.2539506,-0.254038,-0.1865852,-2.998974,-0.8778735,-2.993702,-0.3450226,-3.075401,-1.67766,-3.315721,-1.404534,-3.321708,-3.522005,1.441411,-1.525286,0.038353,0.2969922,-1.495352,-0.2539506,-1.589912,-2.197607,-0.254038,-1.012145,-1.03052,-2.149572,-0.6169903,-0.1865852,0.02209972,-2.993702,-1.67766,-3.315721,-4.346722,-2.955572
"150",-0.1932876,-1.730234,-0.1616589,-0.1160347,-0.05255356,-2.760074,-0.8563105,-2.845037,-0.2554209,-2.940102,-1.451086,-3.135738,-1.252388,-3.117148,-3.323195,1.291373,-1.613071,0.03242767,0.6491567,-1.730234,-0.1616589,-1.403967,-2.243973,-0.1160347,-0.9502986,-0.7336235,-1.81142,-0.4482151,-0.05255356,0.08430574,-2.845037,-1.451086,-3.135738,-4.205904,-2.805483
"152",-0.2389636,-1.975103,-0.2398275,0.00519504,0.0604222,-2.533546,-0.9566299,-2.638287,-0.1648325,-2.802585,-1.3094,-2.870533,-1.099503,-2.907992,-3.12034,1.093901,-1.612965,0.01915232,0.9174375,-1.975103,-0.2398275,-1.09081,-2.21385,0.00519504,-0.8221661,-0.622697,-1.510485,-0.3559868,0.0604222,0.1304779,-2.638287,-1.3094,-2.870533,-4.017277,-2.654428
"154",-0.3484828,-2.154753,-0.2039889,0.0949818,0.2166749,-2.416394,-0.9843242,-2.260028,-0.0653179,-2.657683,-1.264254,-2.590465,-0.9454525,-2.697093,-2.913684,0.6327262,-1.479922,-0.04495847,0.8530292,-2.154753,-0.2039889,-0.8523094,-2.157443,0.0949818,-0.7032,-0.3906744,-1.124323,-0.125459,0.2166749,0.1569435,-2.260028,-1.264254,-2.590465,-3.806157,-2.500943
"156",-0.5396095,-2.272603,0.004639733,0.1300394,0.367094,-2.412028,-0.9742416,-1.543261,0.04857931,-2.511228,-1.286099,-2.320659,-0.7895907,-2.486958,-2.703482,0.5463508,-1.287466,-0.1155616,0.6146332,-2.272603,0.004639733,-0.8330142,-2.098063,0.1300394,-0.6320454,-0.2117913,-0.825108,0.09538074,0.367094,0.1494902,-1.543261,-1.286099,-2.320659,-3.581808,-2.345378
"158",-0.6421772,-2.30979,0.3002715,0.03252517,0.3239418,-2.475195,-0.8567799,-1.032009,0.1760201,-2.365314,-1.294939,-1.901906,-0.6379337,-2.278606,-2.489987,0.5063444,-1.032405,-0.1861469,0.5313094,-2.30979,0.3002715,-1.608041,-2.150207,0.03252517,-0.6451601,-0.2358205,-0.7522045,0.07297906,0.3239418,0.1117007,-1.032009,-1.294939,-1.901906,-3.356948,-2.186165
"160",-0.6227738,-2.437373,0.3940155,-0.02639896,0.1435401,-2.51594,-0.6267146,-0.5964594,0.3151898,-2.204681,-1.212288,-1.642662,-0.4876712,-2.085623,-2.273459,0.4862159,-0.8189502,-0.5363987,0.7141187,-2.437373,0.3940155,-1.354004,-2.12723,-0.02639896,-0.5646024,-0.4040544,-0.8600688,-0.04374865,0.1435401,0.0675531,-0.5964594,-1.212288,-1.642662,-3.151077,-2.026569
"162",-0.6063176,-2.767194,0.3648676,0.4405904,0.212491,-2.522656,-0.2872328,-0.09502666,0.4362062,-2.051215,-1.079501,-1.403207,-0.3466961,-1.871694,-2.054163,0.5084984,-0.7296891,-0.9810055,0.6758333,-2.767194,0.3648676,1.387653,-1.3016,0.4405904,-0.1873944,-0.2496164,-0.6992719,-0.05678586,0.212491,0.03415278,-0.09502666,-1.079501,-1.403207,-2.90413,-1.862252
"164",-0.5119118,-2.735206,0.4068075,-0.2089297,0.266801,-2.46105,-0.2561349,0.1736129,0.5545907,-1.891738,-0.9363886,-1.130321,-0.2059143,-1.67275,-1.832363,0.5542238,-0.6466797,-1.746014,0.7050284,-2.735206,0.4068075,3.239401,0.7047485,-0.2089297,-0.2926509,-0.2787986,-0.7098595,-0.1001333,0.266801,0.02659844,0.1736129,-0.9363886,-1.130321,-2.673959,-1.696083
"166",-0.3836763,-2.625758,0.5818336,-0.2743628,0.206032,-2.356919,-0.290776,0.2832457,0.6536808,-1.730261,-0.8186353,-0.9287867,-0.06790875,-1.477764,-1.608326,0.6328632,-0.5940876,-2.192024,0.8178574,-2.625758,0.5818336,3.46568,1.338964,-0.2743628,0.3729979,-0.3873643,-0.8321194,-0.1616627,0.206032,0.01723791,0.2832457,-0.8186353,-0.9287867,-2.497753,-1.526252
"168",-0.2188818,-2.508121,0.6267715,-0.1626311,0.0380612,-2.218786,-0.3715227,0.2396266,0.7358076,-1.563562,-0.7011582,-0.7613074,0.06772668,-1.282513,-1.382329,0.7649117,-0.5867656,-2.235554,1.078347,-2.508121,0.6267715,3.687257,2.032938,-0.1626311,1.036448,-0.4221415,-0.9984434,-0.2583967,0.0380612,-0.005882718,0.2396266,-0.7011582,-0.7613074,-2.336238,-1.355445
