"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
"148",0.03504451,-0.1296713,0.429435,0.647258,0.6246567,0.09266977,0.3112679,-0.013578,0.1671394,-0.009279217,0.04120185,-0.3305185,0.08314828,1.628635,-0.0002473352,0.02579623,-0.07892692,0.2637351,-0.09655376,-0.1296713,0.429435,1.474377,-1.180826,0.647258,1.134271,0.2202663,-0.5547739,0.1749175,0.6246567,0.07216052,-0.013578,0.04120185,-0.3305185,-1.082434,0.02054579
"150",-0.02674829,-0.09618133,0.3731188,0.5966344,0.5040171,0.1086497,0.2668544,-0.08258108,0.1656678,-0.003699862,0.07569695,-0.2972671,0.08535956,1.663655,-0.0002450756,0.03804305,-0.09264816,0.2960421,-0.1126929,-0.09618133,0.3731188,1.649574,-1.16035,0.5966344,1.233838,0.1817078,-0.2005987,0.1574374,0.5040171,-0.04967503,-0.08258108,0.07569695,-0.2972671,-1.129596,0.02100165
"152",-0.1131981,-0.07590964,0.2552759,0.5012602,0.3681391,0.1200537,-0.04257133,-0.2122896,0.166518,-0.00049015,0.08356066,-0.2323141,0.08797612,1.695072,-0.000243107,0.01925726,-0.09070757,0.3408074,-0.1216451,-0.07590964,0.2552759,1.731828,-1.053869,0.5012602,1.320475,0.1270945,0.05381593,0.1085151,0.3681391,0.006586122,-0.2122896,0.08356066,-0.2323141,-1.180262,0.02149385
"154",-0.2082827,-0.04315436,0.2175932,0.4246532,0.241145,0.1097297,-0.2476897,-0.3999987,0.1711849,0.001842584,0.06418323,-0.1565299,0.09091916,1.722796,-0.0002409759,-0.25317,-0.06816534,0.3658894,-0.07329877,-0.04315436,0.2175932,1.757181,-0.9143756,0.4246532,1.369773,0.07099959,0.2371151,0.04309165,0.241145,0.05554785,-0.3999987,0.06418323,-0.1565299,-1.219373,0.02194984
"156",-0.3073843,-0.003237426,0.2188377,0.3759283,0.224906,0.07955481,-0.3426127,-0.3339003,0.1801721,0.00254594,0.03606354,-0.08726585,0.09365912,1.747332,-0.000239365,-0.0953463,-0.03320235,0.3199935,0.02525038,-0.003237426,0.2188377,1.725882,-0.8086175,0.3759283,1.365276,-0.04153182,0.3019727,-0.07987616,0.224906,0.0436572,-0.3339003,0.03606354,-0.08726585,-1.249723,0.02232858
"158",-0.3123393,-0.04395311,-0.02745346,0.2987492,0.205528,0.04007595,-0.285156,-0.0446274,0.1911321,0.003142686,0.006652697,0.01330951,0.09520168,1.769913,-0.00023787,-0.1678605,-0.01844741,0.2149449,0.03840332,-0.04395311,-0.02745346,1.34058,-0.8560205,0.2987492,1.302756,-0.05193461,0.2892496,-0.08976407,0.205528,0.01062944,-0.0446274,0.006652697,0.01330951,-1.344102,0.0226341
"160",-0.306853,-0.03679909,-0.06536371,0.03989951,0.1628442,0.008656285,-0.1104527,0.420632,0.2065744,0.003370879,-0.002171385,0.03798362,0.09775841,1.756091,-0.0002364134,-0.2138997,-0.004983753,0.1749469,-0.02034261,-0.03679909,-0.06536371,1.469721,-0.7833275,0.03989951,1.133059,-0.01151065,0.259306,-0.03862733,0.1628442,-0.02049351,0.420632,-0.002171385,0.03798362,-1.352877,0.02226847
"162",-0.2892842,0.1506888,-0.0805148,0.3706534,0.09073882,-0.005728831,0.08584409,0.758576,0.2115899,0.003638367,0.003498439,0.1151257,0.09370065,1.81003,-0.0002366887,-0.2339784,-0.02479079,0.2112608,0.03919887,0.1506888,-0.0805148,0.4674848,0.3071372,0.3706534,1.048308,0.02081859,0.1778685,0.009354692,0.09073882,0.02605443,0.758576,0.003498439,0.1151257,-1.342403,0.02287383
"164",-0.2620357,0.1356339,-0.1065472,0.6312119,0.02474009,-0.002610719,0.1360844,0.720181,0.2179913,0.004014063,0.01358979,0.1753033,0.08916393,1.827512,-0.0002367024,-0.1912524,-0.02782277,0.2831055,0.07547626,0.1356339,-0.1065472,-0.4515771,1.170334,0.6312119,0.9221291,0.05683144,0.1092115,0.08324384,0.02474009,0.06645294,0.720181,0.01358979,0.1753033,-1.305792,0.02280532
"166",-0.1769869,0.1294484,-0.1149813,0.6358288,-0.02691291,0.009813386,0.1687306,0.628841,0.2180077,0.004532639,0.02531103,0.2142308,0.08168518,1.842515,-0.0002372657,-0.1178082,-0.02533356,0.243392,0.04092016,0.1294484,-0.1149813,-0.6956198,1.251674,0.6358288,0.7964946,0.1239957,0.06822145,0.1944179,-0.02691291,0.0725729,0.628841,0.02531103,0.2142308,-1.272223,0.02258838
"168",-0.1049482,0.1210264,-0.04303578,0.570671,-0.09352469,0.02553067,0.1604993,0.6902261,0.2148235,0.00502325,0.04065564,0.2572542,0.07141641,1.85306,-0.000237944,-0.04211901,-0.03534857,0.2398524,-0.03521186,0.1210264,-0.04303578,-0.9670215,0.9815145,0.570671,0.7853397,0.1856136,0.03762918,0.3154223,-0.09352469,0.08206143,0.6902261,0.04065564,0.2572542,-1.247012,0.02244141
"170",-0.06955081,0.1155576,-0.001308196,0.4391184,-0.1652337,0.04049555,0.1204033,0.8036431,0.2061196,0.005484109,0.05533884,0.3232994,0.05832828,1.859686,-0.0002384706,0.09019913,-0.03997246,0.2167691,-0.1021442,0.1155576,-0.001308196,-1.051962,0.8645522,0.4391184,0.7389477,0.3449945,-0.004689851,0.4919098,-0.1652337,0.03182191,0.8036431,0.05533884,0.3232994,-1.204822,0.02238153
"172",-0.07553146,0.1182313,-0.01942984,0.3435792,-0.2221598,0.05151578,0.1648664,0.9804517,0.1809118,0.005841683,0.06645983,0.474028,0.04527037,1.863527,-0.0002387106,0.07585785,-0.04849517,0.2292099,-0.07804204,0.1182313,-0.01942984,-1.152723,0.6684264,0.3435792,0.7686637,0.5332806,-0.05138641,0.5867778,-0.2221598,-0.008268557,0.9804517,0.06645983,0.474028,-1.07319,0.02238605
"174",-0.1727414,0.104673,0.002796825,0.4979466,-0.2387064,0.05855057,0.1909968,1.072642,0.09035115,0.006215204,0.07583727,0.5294496,0.03565129,1.81705,-0.0002375488,0.06829093,-0.05784074,0.2512519,-0.04571509,0.104673,0.002796825,-1.15474,0.710889,0.4979466,0.8491313,0.59312,-0.07201359,0.6475325,-0.2387064,-0.02435918,1.072642,0.07583727,0.5294496,-0.8864029,0.02210856
"176",-0.1750192,0.0320887,-0.008174314,0.09490137,-0.3722795,0.06149174,0.3200348,0.9725631,-0.1238678,0.00654407,0.08111054,0.4415995,0.02995033,1.861612,-0.000237504,0.07960215,-0.05574686,0.2123237,-0.0112028,0.0320887,-0.008174314,-0.9753252,0.6365513,0.09490137,0.7034285,0.6716456,-0.1983819,0.7390297,-0.3722795,-0.07531256,0.9725631,0.08111054,0.4415995,-0.7509607,0.02254122
"178",-0.1465195,-0.193326,0.006440758,-0.1152657,-0.4761554,0.06317185,0.59641,0.9281489,-0.3231425,0.00683406,0.08599271,0.3527739,0.03075613,1.858432,-0.0002362037,0.08877284,-0.04914664,0.1522961,0.009251787,-0.193326,0.006440758,-0.6305589,0.5416694,-0.1152657,0.652264,0.7404977,-0.3027246,0.8269284,-0.4761554,0.4955684,0.9281489,0.08599271,0.3527739,-0.7155489,0.02266012
