"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
"148",0.02468825,0.02516025,0.0171871,0.0347156,0.3078874,0.02809127,0.05497861,0.07489332,0.04211723,0.04107763,0.05336139,0.05565773,0.03624365,0.2209225,0.008845843,0.004484738,0.05212073,0.03922902,0.0571822,0.02516025,0.0171871,0.1314138,0.2684375,0.0347156,0.1268289,0.09217225,0.3845313,0.1203264,0.3078874,0.04977995,0.07489332,0.05336139,0.05565773,0.07373581,0.03557188
"150",0.03443832,0.02465074,0.01348985,0.04259793,0.290383,0.02720913,0.07085233,0.07239265,0.04216301,0.03999239,0.04968174,0.05711866,0.0365057,0.2273531,0.008845876,0.00443415,0.05646766,0.03948995,0.04002995,0.02465074,0.01348985,0.1311261,0.3113621,0.04259793,0.1553887,0.08693593,0.3722852,0.123204,0.290383,0.04903651,0.07239265,0.04968174,0.05711866,0.07374572,0.03559246
"152",0.04372622,0.02754945,0.02128872,0.05162499,0.254778,0.02729013,0.08101265,0.07390268,0.04284034,0.03905734,0.05126816,0.0580822,0.0368862,0.2341285,0.008845906,0.004346867,0.06219837,0.04395603,0.02850863,0.02754945,0.02128872,0.1374999,0.3288083,0.05162499,0.1740086,0.08633111,0.3583291,0.1101142,0.254778,0.04861973,0.07390268,0.05126816,0.0580822,0.07533252,0.03562542
"154",0.05432631,0.03088597,0.05316647,0.06451329,0.1940955,0.02892856,0.07880592,0.07913231,0.04474111,0.03827962,0.0552269,0.05861181,0.03751406,0.2408731,0.008845932,0.01378392,0.06576388,0.05043137,0.0206283,0.03088597,0.05316647,0.1430197,0.326762,0.06451329,0.1869465,0.08775248,0.3085983,0.0975387,0.1940955,0.04451182,0.07913231,0.0552269,0.05861181,0.07812123,0.03566545
"156",0.06370299,0.03552687,0.0562249,0.07521624,0.1523945,0.0321338,0.06974932,0.08278355,0.04795127,0.03768391,0.0560307,0.05909082,0.03850083,0.2474473,0.008845956,0.01563423,0.06168894,0.05136232,0.01651342,0.03552687,0.0562249,0.1392909,0.3047626,0.07521624,0.1873337,0.08975125,0.2357291,0.1000767,0.1523945,0.03707431,0.08278355,0.0560307,0.05909082,0.08124808,0.03571219
"158",0.05924982,0.04187261,0.03780579,0.07444393,0.137576,0.03494107,0.05435732,0.0922599,0.05124695,0.03721403,0.05131018,0.06196285,0.03983963,0.2538817,0.008845978,0.02141531,0.05427883,0.04875197,0.01611768,0.04187261,0.03780579,0.09410758,0.2674943,0.07444393,0.1810665,0.08683171,0.1930147,0.09983723,0.137576,0.02562348,0.0922599,0.05131018,0.06196285,0.08659938,0.0357625
"160",0.05311767,0.04581194,0.03970655,0.1658563,0.1354952,0.03634093,0.03859278,0.1294684,0.0536665,0.03683401,0.04661511,0.06141685,0.0412214,0.298553,0.008846,0.02747099,0.03945451,0.05659315,0.01771934,0.04581194,0.03970655,0.1374125,0.228718,0.1658563,0.1603426,0.07767385,0.1930365,0.09361846,0.1354952,0.01746428,0.1294684,0.04661511,0.06141685,0.08968975,0.03581994
"162",0.05180049,0.05080713,0.04277397,0.1052465,0.123629,0.03605145,0.0283369,0.1395002,0.05747166,0.03657932,0.04478079,0.06327238,0.04325231,0.2651144,0.008846015,0.03186468,0.03899779,0.06210255,0.0242016,0.05080713,0.04277397,0.04492447,0.2133823,0.1052465,0.1456407,0.08363489,0.1427132,0.09529634,0.123629,0.01431226,0.1395002,0.04478079,0.06327238,0.09392536,0.03586116
"164",0.04836923,0.0557899,0.04841603,0.1522957,0.113347,0.03527288,0.02828927,0.1119853,0.06257323,0.03634545,0.04402915,0.06005278,0.04496304,0.2693526,0.008846024,0.02840492,0.03392656,0.06188233,0.03037209,0.0557899,0.04841603,0.0968356,0.1364489,0.1522957,0.07961162,0.07713457,0.1215884,0.08761013,0.113347,0.01718786,0.1119853,0.04402915,0.06005278,0.09680531,0.03590696
"166",0.04169064,0.05449197,0.05748835,0.1863831,0.1109879,0.03477785,0.03171546,0.09514408,0.06879301,0.03614339,0.04263859,0.0548248,0.04634725,0.2720929,0.008846029,0.02017462,0.03086396,0.06044531,0.03981705,0.05449197,0.05748835,0.1222738,0.1812053,0.1863831,0.05733804,0.06815661,0.1184731,0.07769457,0.1109879,0.02187877,0.09514408,0.04263859,0.0548248,0.09807129,0.03594926
"168",0.03768716,0.04947409,0.05265992,0.1954904,0.1118639,0.03474731,0.03416712,0.1145244,0.07666615,0.03596654,0.04154968,0.04950243,0.04702617,0.2734108,0.008846031,0.01202388,0.03111109,0.0556894,0.04393586,0.04947409,0.05265992,0.133648,0.1549647,0.1954904,0.07283408,0.05357292,0.1217118,0.06276725,0.1118639,0.02821352,0.1145244,0.04154968,0.04950243,0.09889721,0.03599274
"170",0.04117893,0.04043917,0.02943067,0.1898362,0.1121604,0.03502855,0.03665995,0.141374,0.08513564,0.03581287,0.04088629,0.04191356,0.04670947,0.2729646,0.008846032,0.004452367,0.03067079,0.04503211,0.04022357,0.04043917,0.02943067,0.1386503,0.1515172,0.1898362,0.08487237,0.03951254,0.1324318,0.05928667,0.1121604,0.0357333,0.141374,0.04088629,0.04191356,0.09429964,0.03603887
"172",0.05495056,0.03601569,0.02342706,0.1897734,0.1150644,0.03536321,0.0408491,0.2183776,0.09451792,0.03567217,0.04035843,0.02950412,0.04550927,0.2709951,0.008846032,0.003819036,0.02895783,0.03475452,0.03701932,0.03601569,0.02342706,0.1440435,0.1463349,0.1897734,0.09273292,0.04690385,0.1483757,0.07480984,0.1150644,0.04106098,0.2183776,0.04035843,0.02950412,0.08333757,0.03608725
"174",0.06589631,0.03236448,0.01702058,0.1941969,0.1205262,0.03542931,0.04498159,0.3169159,0.09810167,0.03552985,0.03995826,0.01694455,0.04431437,0.3073495,0.008846032,0.004857947,0.02454712,0.01952216,0.026458,0.03236448,0.01702058,0.1098364,0.1202802,0.1941969,0.09542063,0.05500161,0.1646253,0.08704229,0.1205262,0.0416358,0.3169159,0.03995826,0.01694455,0.07101321,0.03614964
"176",0.06323064,0.02253366,0.01764694,0.1887131,0.1204536,0.03550649,0.04317516,0.4600138,0.1016033,0.03541051,0.03982853,0.007376799,0.04263548,0.267477,0.008846032,0.00663544,0.02522287,0.01219857,0.02543107,0.02253366,0.01764694,0.1656138,0.1921623,0.1887131,0.07033614,0.04460643,0.1823451,0.07106016,0.1204536,0.04768001,0.4600138,0.03982853,0.007376799,0.0606349,0.03618762
"178",0.05707549,0.02460845,0.01727011,0.1829157,0.1085724,0.03548355,0.03731498,0.4309725,0.1032662,0.0352874,0.03970599,0.005898919,0.04168974,0.2681309,0.008846031,0.006445606,0.02311199,0.006840488,0.02169153,0.02460845,0.01727011,0.3299291,0.09739708,0.1829157,0.06870556,0.03818505,0.1805882,0.0563547,0.1085724,0.04107815,0.4309725,0.03970599,0.005898919,0.0534603,0.03623473
"180",0.04996551,0.02686771,0.02016545,0.1542014,0.07348035,0.03560027,0.05796327,0.4456034,0.1040876,0.03514232,0.03971887,0.006073249,0.04046761,0.3093954,0.008846025,0.005399992,0.01952159,0.005284641,0.01814652,0.02686771,0.02016545,0.3353467,0.07750108,0.1542014,0.07215526,0.03974478,0.1333005,0.05199451,0.07348035,0.05644336,0.4456034,0.03971887,0.006073249,0.0484262,0.03626423
"182",0.04640104,0.02914391,0.03453085,0.1346765,0.05297758,0.03555136,0.05911727,0.1885079,0.1056886,0.03500431,0.03980968,0.00744421,0.03916461,0.2724178,0.00884602,0.004666342,0.01891138,0.004437249,0.01811981,0.02914391,0.03453085,0.2777984,0.07770046,0.1346765,0.06986261,0.06680429,0.1254674,0.08090179,0.05297758,0.1228166,0.1885079,0.03980968,0.00744421,0.03729776,0.03629768
"184",0.04503292,0.03325219,0.03372567,0.132434,0.07718318,0.03553619,0.05551115,0.08432779,0.1109207,0.03489041,0.03994185,0.01175482,0.03839423,0.2731877,0.008846017,0.004039604,0.01707138,0.003739324,0.01414426,0.03325219,0.03372567,0.2446379,0.07912546,0.132434,0.06874757,0.07829741,0.1616041,0.09768784,0.07718318,0.1922838,0.08432779,0.03994185,0.01175482,0.03335156,0.03633689
